Crop,Treatment,Addition,Day,Cumulative CO2,Cumulative N2O,16S rRNA,amoA,total nor 
Corn,0N,Carbon,0,0,0,1610925974,5828078.05,539345077.1
Corn,0N,Carbon,4,101.7260065,-0.480473474,9397637115,14849454.08,2021023049
Corn,0N,Carbon,15,260.8573032,-2.393310049,8872197211,27697167.47,1801609660
Corn,0N,Carbon,30,687.8955595,-1.788232299,11237048332,18666487.81,1141620969
Corn,0N,Carbon,59,1702.412876,-1.733706238,6402674189,47295257.52,1136362862
Corn,0N,Carbon,86,2619.032585,-2.190943861,4914840450,7862306.91,926589448.2
Corn,0N,Control,0,0,0,1749657635,7419424.43,588539457.1
Corn,0N,Control,4,84.37847314,-0.067368048,9035000037,14773923.01,1936790305
Corn,0N,Control,15,320.9781175,-0.249528902,7181797169,21441237.39,1555064355
Corn,0N,Control,30,640.998199,-0.24040992,9510216220,16196690.4,997795867.7
Corn,0N,Control,59,1427.483934,-0.166159124,5814038127,29184665.38,1021965821
Corn,0N,Control,86,2024.199833,-0.083753916,4822441884,23114573.36,892109561.7
Corn,0N,Nitrogen,0,0,0,1657181129,5703364.985,534902491.8
Corn,0N,Nitrogen,4,102.6258158,0.072781372,9378660320,15103686.88,1802988356
Corn,0N,Nitrogen,15,352.4180241,0.12419179,4280551913,16922055.95,966629741.8
Corn,0N,Nitrogen,30,647.6192332,0.239360402,11458322632,20606051.63,1174926734
Corn,0N,Nitrogen,59,1629.533305,0.664454178,5703252460,32365947.08,962553291.4
Corn,0N,Nitrogen,86,2446.539713,1.295422559,3690596512,12402472.19,681861592.5
Corn,112N,Carbon,0,0,0,1711799978,9746904.49,488182288.3
Corn,112N,Carbon,4,161.1877528,0.359835198,8916596957,25193043.5,1586632663
Corn,112N,Carbon,15,444.1816289,0.396522908,6472760925,34277941.2,1092083390
Corn,112N,Carbon,30,742.4130768,0.408166299,11577507821,24530617.72,1086565564
Corn,112N,Carbon,59,1441.890032,0.425410568,6727753209,31197921.46,1217279020
Corn,112N,Carbon,86,2013.988651,0.9178664,3949555116,12868038.04,583797166.1
Corn,112N,Control,0,0,0,1439327823,8771124.983,413715147.8
Corn,112N,Control,4,98.02012938,0.005627202,7273963390,18339836.2,1399368246
Corn,112N,Control,15,324.5812016,0.279871368,6198269735,42635001.74,1290702042
Corn,112N,Control,30,582.5487963,0.693460776,10867766991,28979520.38,1073333359
Corn,112N,Control,59,1144.371156,0.955037547,5898375034,15524660.47,1041163091
Corn,112N,Control,86,1623.907624,1.671569371,4080255231,11383356.55,677292044
Corn,112N,Nitrogen,0,0,0,1577740615,8511584.918,470313648.3
Corn,112N,Nitrogen,4,83.87987451,0.073548728,8060084240,25916394.28,1620617960
Corn,112N,Nitrogen,15,287.3830529,0.618196767,5778977063,38547854.85,1175819188
Corn,112N,Nitrogen,30,510.2488451,1.312802984,10143887872,25333919.19,998148576.5
Corn,112N,Nitrogen,59,1089.244968,1.647544509,5496054933,29220801.83,991867841.9
Corn,112N,Nitrogen,86,1918.846403,0.281892892,3617586148,8602096.487,597973965.3
Corn,336N,Carbon,0,0,0,941737390.5,11318651.06,310205641.5
Corn,336N,Carbon,4,169.0962502,0.574006335,6404351061,25180853.21,1117556058
Corn,336N,Carbon,15,457.1570549,0.152077232,6907625143,62773354,1395348729
Corn,336N,Carbon,30,737.2693655,0.657006051,9074398548,34850122.72,875495099.1
Corn,336N,Carbon,59,1221.734538,0.732765757,5238638362,27039392.45,919546104.7
Corn,336N,Carbon,86,1611.195607,0.875799237,3548988527,13972036.72,649033819
Corn,336N,Control,0,0,0,1316637671,14393622.85,412811733.2
Corn,336N,Control,4,71.34939863,0.031038604,7380763421,48436528.11,1469469274
Corn,336N,Control,15,256.4996884,0.149371801,4987577989,49380137.25,1047783999
Corn,336N,Control,30,502.5109203,0.282451543,7552757745,31217698.28,771296401.1
Corn,336N,Control,59,916.1913791,1.741348484,4216635297,50464699.48,750736442.3
Corn,336N,Control,86,1367.116708,0.283346137,3972248351,18471234.23,750527228.1
Corn,336N,Nitrogen,0,0,0,1211225601,11810537.56,398882333.6
Corn,336N,Nitrogen,4,72.15761953,0.072885527,5629440033,44737386.37,1247557011
Corn,336N,Nitrogen,15,263.4537852,0.116724673,6141525456,62340817.28,1338887383
Corn,336N,Nitrogen,30,491.6000945,0.154470243,7735893467,32789792.19,734306946.7
Corn,336N,Nitrogen,59,903.4341888,0.199907756,4604529564,31484739,829121112.3
Corn,336N,Nitrogen,86,1236.136488,0.634054311,4008536653,22373584.33,671016750.5
Miscanthus,0N,Carbon,0,0,0,1424739394,6375250.683,575465931.8
Miscanthus,0N,Carbon,4,204.0475888,-0.004770916,1955172153,6388571.308,680241752.6
Miscanthus,0N,Carbon,15,538.4350697,-0.005978525,6623100320,21021797.37,1470027681
Miscanthus,0N,Carbon,30,906.2807748,0.01344064,9080490307,14693278.86,992693483.4
Miscanthus,0N,Carbon,59,1540.146433,0.223553143,6787189294,79251937.73,1250312294
Miscanthus,0N,Carbon,86,2101.567589,0.540985137,4747918025,39473999.83,674131743.4
Miscanthus,0N,Control,0,0,0,1258634669,5217311.675,509702310.2
Miscanthus,0N,Control,4,121.7861676,-0.001633163,1828770430,7522570.74,717811460.1
Miscanthus,0N,Control,15,397.2162734,0.012283103,6588237041,19781660.36,1429577122
Miscanthus,0N,Control,30,720.2596404,0.102465033,9438218384,15570932.1,1028031777
Miscanthus,0N,Control,59,1292.700159,0.397728789,5713731852,44132008.17,971453769.3
Miscanthus,0N,Control,86,1802.134619,0.8725569,3764966935,11362675.04,550276541.7
Miscanthus,0N,Nitrogen,0,0,0,1350379637,5227998.843,579285656.3
Miscanthus,0N,Nitrogen,4,124.7761902,0.051130385,1746876440,8194754.138,696265986.2
Miscanthus,0N,Nitrogen,15,407.1384447,0.223950807,7845870063,25720206.18,1585853649
Miscanthus,0N,Nitrogen,30,734.3260955,0.856967586,10340732693,19630752.19,1137011949
Miscanthus,0N,Nitrogen,59,1296.349849,2.41636886,6775489341,48871413.36,1263322010
Miscanthus,0N,Nitrogen,86,1819.868102,3.107536431,4885804097,42262982.26,660449636.2
Miscanthus,112N,Carbon,0,0,0,1530157032,14702621.73,627748866.1
Miscanthus,112N,Carbon,4,200.8494593,0.174689227,6249304586,23630459.61,1357128527
Miscanthus,112N,Carbon,15,496.3929288,0.191928273,8141714760,76312429.13,1605807503
Miscanthus,112N,Carbon,30,820.5836028,0.234908545,10166323131,34011603.66,1109171262
Miscanthus,112N,Carbon,59,1375.064796,0.300624556,6073763133,40459731.46,1079802316
Miscanthus,112N,Carbon,86,1843.403166,0.312092946,5092387257,39195923.76,703061716.1
Miscanthus,112N,Control,0,0,0,1357770012,13230668.2,580798808.4
Miscanthus,112N,Control,4,87.67651718,1.363082312,3660045688,21851923.45,1126364146
Miscanthus,112N,Control,15,285.9067698,3.446900665,5194508312,48482090.55,1207490484
Miscanthus,112N,Control,30,542.2405354,5.209274423,6976284777,25052069.39,783494236.5
Miscanthus,112N,Control,59,1019.943874,6.303577147,5434051575,39306147.92,1011616176
Miscanthus,112N,Control,86,1456.823001,6.34891384,4269590851,40331037.84,598487569.2
Miscanthus,112N,Nitrogen,0,0,0,1202041715,12476000.11,518748716.9
Miscanthus,112N,Nitrogen,4,87.53115182,1.187077296,5782777140,26104677.17,1371425617
Miscanthus,112N,Nitrogen,15,280.311088,4.211907355,7105839603,76969776.23,1487624779
Miscanthus,112N,Nitrogen,30,513.2557043,7.233192229,9201421785,35307773.66,1071030445
Miscanthus,112N,Nitrogen,59,941.5483369,10.60699854,5086180296,36990362.87,892220151.2
Miscanthus,112N,Nitrogen,86,1348.915434,11.87339504,5335780248,41549893.6,766782849.9
Miscanthus,336N,Carbon,0,0,0,1435040009,23152324.61,566439827.9
Miscanthus,336N,Carbon,4,203.5679114,0.669513497,6719102181,55434369.45,1450839577
Miscanthus,336N,Carbon,15,503.4262762,2.268502054,7514470373,133164211,1455133149
Miscanthus,336N,Carbon,30,760.1647465,5.210889562,8253817122,38072792.68,817445123
Miscanthus,336N,Carbon,59,2005.918641,10.04536225,5390038003,44938888.78,954830762
Miscanthus,336N,Carbon,86,1614.341374,18.50339751,4132304038,35435277.31,578090236.7
Miscanthus,336N,Control,0,0,0,1186805659,18445661.19,458206819.8
Miscanthus,336N,Control,4,94.9330337,0.10902499,5581473162,41420319.11,1294603204
Miscanthus,336N,Control,15,289.1501701,0.568027803,6085956443,120244928.3,1181481270
Miscanthus,336N,Control,30,609.253884,0.894551289,8776606510,43699367.39,933045514.5
Miscanthus,336N,Control,59,1890.874186,4.494769186,5218947325,62467187.29,918971298.7
Miscanthus,336N,Control,86,3057.850666,10.55280185,3848472632,47036267.14,570340799
Miscanthus,336N,Nitrogen,0,0,0,1309708763,21479649.16,552424700.7
Miscanthus,336N,Nitrogen,4,79.99155128,0.350987621,5826554647,50521657.61,1407735725
Miscanthus,336N,Nitrogen,15,318.277941,0.057386015,8052663564,153972893.3,1696356736
Miscanthus,336N,Nitrogen,30,522.6740408,5.059498185,7674426092,42765037.07,846139905.6
Miscanthus,336N,Nitrogen,59,1005.124338,9.330174312,6075436882,35935838.57,1033962552
Miscanthus,336N,Nitrogen,86,1408.018549,13.13943352,4250193092,26208333.15,619073653.7